X,Y,OBJECTID,Location,Type,Date,Info,NoCrossings,CrSide,Number,CivicNo,Street,NumberCrossing,Sharing,History
-66.63466179540886,45.946961026603844,316,Waterloo @ Elmcroft,,,,,,3,,,,,
-66.644227935216648,45.951162911217004,317,Albert @ Tweedsmuir,,,,,,3,,,,,
-66.644791454226109,45.951316932911098,318,Albert @ Hanson,,,,,,3,,,,,
-66.645352883273929,45.950673462089341,319,Hanson @ Beckwith,,,,,,3,,,,,
-66.648605893905327,45.948360104530316,320,Kings College @ Kitchen,,,,,,3,,,,,
-66.647649337566662,45.947980457900471,321,Kings College @ Hanson,,,,,,4,,,,,
-66.646504975685886,45.947553435415777,322,Kings College @ Graham,,,,,,3,,,,,
-66.645955602666902,45.946280535135145,323,Windsor @ Valleyview,,,,,,3,,,,,
-66.647117091352968,45.946743249990838,324,Valleyview @ Burden,,,,,,3,,,,,
-66.64829572583659,45.947229736904774,325,Hanson @ Valleyview,,,,,,4,,,,,
-66.6490102192477,45.946431311317355,326,Hanson @ Loyalist,,,,,,3,,,,,
-66.649639734086605,45.945763925285107,327,Hanson @ Fenety,,,,,,3,,,,,
-66.648392773955351,45.94524183243287,328,Fenety @ Burden,,,,,,3,,,,,
-66.647231242822599,45.944755324327758,329,Windsor @ Fenety,,,,,,3,,,,,
-66.651308434495789,45.944511916332388,330,Montgomery @ Grandame,,,,,,3,,,,,
-66.646440182799239,45.942411481025253,331,Montgomery @ Duffie,,,,,,3,,,,,
-66.649021658735791,45.938004066775882,332,Priestman @ College Hill,,,,,,3,,,,,
-66.658781369785061,45.957506794829776,333,Waggoners @ Simpson,,,,,,3,,,,,
-66.661553279865359,45.959973923637861,334,Rookwood @ Inglewood,,,,,,3,,,,,
-66.661063876393797,45.960703072315866,335,Rookwood @ Woodfield (S),,,,,,3,,,,,
-66.660574378421018,45.96140365128386,336,Rookwood @ Wilmot,,,,,,3,,,,,
-66.660370647127493,45.96177530767617,337,Rookwood @ Woodfield (N),,,,,,3,,,,,
-66.659575479498017,45.963019083259731,338,Rookwood @ Saunders/Parkhurst,,,,,,4,,,,,
-66.660518239068395,45.963232007782402,339,Parkhurst @ Manor,,,,,,3,,,,,
-66.66199327367913,45.963358468404991,340,Parkhurst @ Brookmount,,,,,,4,,,,,
-66.662914263115283,45.963128618172085,341, Parkhurst @ Woodbine,,,,,,3,,,,,
-66.663855811967537,45.96292729853856,342,Parkhurst @ Riverdale,,,,,,3,,,,,
-66.66479748029154,45.962768820195826,343,Parkhurst @ Ashland,,,,,,3,,,,,
-66.665350301528761,45.962710884498946,344,Parkhurst @ Haviland,,,,,,3,,,,,
-66.665718406749249,45.962524664835222,345,Parkhurst @ Fairlawn,,,,,,3,,,,,
-66.666639624899645,45.962380485305637,346,Parkhurst @ Londale,,,,,,3,,,,,
-66.668049301989655,45.961221454410591,347,Parkhurst@ Inglewood,,,,,,3,,,,,
-66.668499658148036,45.961149371308409,348,Hanwell @ Parkhurst,,,,,,3,,,,,
-66.668727078207496,45.961848921292173,349,Hanwell @ Hermitage,,,,,,3,,,,,
-66.672340263297855,45.95801554840881,350,Hanwell @ Foley,,,,,,3,,,,,
-66.673220072747029,45.957757110109412,351,Hanwell @ Castleton,,,,,,3,,,,,
-66.676046703964985,45.956832680781872,352,Hanwell @ Burnham,,,,,,3,571,Hanwell,,,
-66.681347839142489,45.954892519737456,353,Hanwell @ Golf Greens,,,,,,3,,,,,
-66.683447779522595,45.954136891956139,354,Hanwell @ Trius,,,,,,3,,,,,
-66.685015083268567,45.953334481199754,355,Hanwell @ Osmond,,,,,,3,,,,,
-66.691809994181412,45.948324023373964,356,Hanwell @ Route 8,,,,,,3,,,,,
-66.696207843485524,45.945136074856052,357,Hanwell @ Valcour,,,,,,3,,,,,
-66.697065507427865,45.944496598858798,358,Hanwell @ Hedley,,,,,,3,,,,,
